Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,3225.0,3230.0,3094.199951171875,3129.199951171875,2970.486328125,1374983
2020-10-06,3142.60009765625,3177.89990234375,3117.0,3136.35009765625,2977.27392578125,849216
2020-10-07,3140.0,3249.949951171875,3138.050048828125,3233.64990234375,3069.638671875,2071160
2020-10-08,3250.0,3292.800048828125,3235.64990234375,3279.14990234375,3112.83056640625,1414044
2020-10-09,3300.0,3340.0,3267.050048828125,3327.39990234375,3158.633544921875,1358012
2020-10-12,3350.800048828125,3355.550048828125,3273.75,3284.699951171875,3118.099365234375,1438726
2020-10-13,3283.5,3303.0,3256.199951171875,3288.050048828125,3121.279541015625,847392
2020-10-14,3303.0,3332.949951171875,3270.0,3310.800048828125,3142.87548828125,1188612
2020-10-15,3312.0,3379.550048828125,3290.10009765625,3314.300048828125,3146.197998046875,1817305
2020-10-16,3315.0,3394.89990234375,3301.0,3346.449951171875,3176.71728515625,1461910
2020-10-19,3352.050048828125,3358.5,3230.550048828125,3248.699951171875,3083.92529296875,1056638
2020-10-20,3249.0,3292.5,3230.449951171875,3237.60009765625,3073.388427734375,1198126
2020-10-21,3250.0,3280.0,3132.14990234375,3178.35009765625,3017.143310546875,2045833
2020-10-22,3176.89990234375,3176.89990234375,3062.39990234375,3081.5,2925.20556640625,1640304
2020-10-23,3100.0,3152.949951171875,3089.89990234375,3111.050048828125,2953.2568359375,1707899
2020-10-26,3120.0,3120.0,2875.0,2897.949951171875,2750.96533203125,4182675
2020-10-27,2925.0,2977.89990234375,2855.550048828125,2911.949951171875,2764.255126953125,3089586
2020-10-28,2995.0,3035.0,2930.35009765625,2946.199951171875,2796.76806640625,5321192
2020-10-29,2935.0,2962.35009765625,2885.0,2894.0,2747.2158203125,2345545
2020-10-30,2913.89990234375,2928.5,2787.0,2799.800048828125,2657.79345703125,3110768
2020-11-02,2888.0,2888.0,2812.0,2835.64990234375,2691.8251953125,2671709
2020-11-03,2860.0,2949.449951171875,2847.0,2937.39990234375,2788.414306640625,2352020
2020-11-04,2940.0,2978.0,2910.10009765625,2968.0,2817.462158203125,1868196
2020-11-05,2990.0,2995.89990234375,2926.800048828125,2944.35009765625,2795.012451171875,1195194
2020-11-06,2943.0,2983.0,2925.199951171875,2945.449951171875,2796.055908203125,1182126
2020-11-09,2970.0,2989.0,2930.0,2954.25,2804.41015625,1175877
2020-11-10,2987.0,2987.0,2922.949951171875,2951.25,2801.56201171875,1352612
2020-11-11,2980.0,3075.0,2953.199951171875,3060.14990234375,2904.9384765625,2829916
2020-11-12,3060.0,3100.0,3037.0,3085.800048828125,2929.287841796875,2093558
2020-11-13,3089.0,3134.89990234375,3071.10009765625,3128.89990234375,2970.201416015625,1274593
2020-11-14,3156.949951171875,3156.949951171875,3098.0,3115.699951171875,2957.671142578125,199281
2020-11-17,3146.39990234375,3148.0,3001.0,3031.300048828125,2877.552001953125,1933560
2020-11-18,3041.85009765625,3048.949951171875,2943.699951171875,2983.0,2831.701416015625,1956934
2020-11-19,3029.0,3136.75,2975.14990234375,2988.5,2836.923095703125,4282399
2020-11-20,2999.0,3018.949951171875,2965.64990234375,2998.64990234375,2846.5576171875,1531471
2020-11-23,3024.60009765625,3074.0,2982.0,3059.75,2904.558837890625,1653325
2020-11-24,3056.0,3109.64990234375,3041.64990234375,3074.14990234375,2918.228515625,1517541
2020-11-25,3079.5,3094.85009765625,3001.0,3008.75,2856.1455078125,1110258
2020-11-26,3008.0,3049.64990234375,2976.10009765625,3024.550048828125,2871.14453125,859782
2020-11-27,3049.0,3118.550048828125,3032.0,3108.85009765625,2951.168701171875,3266924
2020-12-01,3120.0,3129.89990234375,3075.050048828125,3110.25,2952.49755859375,1503427
2020-12-02,3113.0,3177.10009765625,3091.0,3126.199951171875,2967.63818359375,1748207
2020-12-03,3156.0,3167.0,3125.5,3139.85009765625,2980.59619140625,974736
2020-12-04,3151.0,3202.0,3150.0,3180.449951171875,3019.13671875,1089915
2020-12-07,3179.89990234375,3217.949951171875,3135.60009765625,3174.050048828125,3013.0615234375,991744
2020-12-08,3175.0,3204.800048828125,3154.64990234375,3167.949951171875,3007.27099609375,644753
2020-12-09,3174.949951171875,3204.0,3156.14990234375,3190.699951171875,3028.86669921875,669455
2020-12-10,3180.0,3207.75,3166.0,3194.300048828125,3032.284423828125,559968
2020-12-11,3200.0,3239.5,3169.0,3185.300048828125,3023.74072265625,1276394
2020-12-14,3214.0,3214.0,3105.0,3113.64990234375,2955.724853515625,1421591
2020-12-15,3082.550048828125,3135.0,3081.10009765625,3112.35009765625,2954.491455078125,1058918
2020-12-16,3130.10009765625,3145.0,3105.0,3117.5,2959.3798828125,1025407
2020-12-17,3135.0,3157.5,3101.050048828125,3112.64990234375,2954.775634765625,969196
2020-12-18,3101.0,3144.0,3101.0,3135.300048828125,2976.277099609375,1109264
2020-12-21,3148.0,3152.85009765625,2944.949951171875,2994.10009765625,2842.238525390625,1397172
2020-12-22,3020.0,3060.0,2900.60009765625,3049.10009765625,2894.44921875,1073505
2020-12-23,3046.60009765625,3073.5,3012.0,3040.050048828125,2885.85791015625,711716
2020-12-24,3045.0,3083.699951171875,3030.0,3073.10009765625,2917.232177734375,640601
2020-12-28,3096.0,3124.0,3062.699951171875,3082.60009765625,2926.25,742559
2020-12-29,3096.0,3106.0,3061.0,3074.0,2918.0859375,478502
